"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"U4","1","MIC2775","","","","Package_TO_SOT_SMD:SOT-23-5","https://ww1.microchip.com/downloads/en/DeviceDoc/mic2775.pdf"
"U5","1","SST39SF010","","","","Package_DIP:DIP-32_W15.24mm_Socket_LongPads","http://ww1.microchip.com/downloads/en/DeviceDoc/25022B.pdf"
"U6","1","74LVC245","","","","Package_SO:SO-20_5.3x12.6mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS245"
"U8","1","74AHCT14","","","","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HC14"
"U9","1","Z80 C20MHz-PLCC","","","","Package_LCC:PLCC-44_THT-Socket","https://archive.org/details/zilog-z-8400"
"U10","1","74LVC2G06","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.onsemi.com/download/data-sheet/pdf/nl27wz06-d.pdf"
"U11,U21","2","74LVC2G34","","","","Package_TO_SOT_SMD:SOT-23-6",""
"U12","1","74LVC273","","","","Package_SO:SO-20_12.8x7.5mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS273"
"U14","1","AS7C1024B","","","","AES_Library:SOJ-32_WN-AES","https://www.silicon-ark.co.uk/datasheets/hm628128-datasheet-hitachi.pdf"
"U15,U18","2","ATF1508AS","","","","Package_QFP:TQFP-100_14x14mm_P0.5mm",""
"U17,U19","2","74HCT166","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS166"
"U20,U24","2","74FCT2244","","","","Package_SO:SSOP-20_3.9x8.7mm_P0.635mm","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf"
"U22","1","ATF1504AS-44T","","","","Package_QFP:TQFP-44_10x10mm_P0.8mm",""
"U23","1","74AHCT00","","","","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74hct00"
